ObjectID,GlobalID,What type of litter bin?,What is it's condition?,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
101,2f5463e6-4883-47a5-8a69-38f4470cd8d1,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6957541429416,38.2251829188121
102,f59066bc-2e8c-4866-ad6e-04cafd111fab,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6951681897842,38.2251175074263
103,f664cd74-f84f-4837-9eb1-74154c053028,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6949632522517,38.2248766953482
104,d6360637-6453-44c3-ae12-9d840330307c,mushroom,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6940950326628,38.2245468500403
105,fab75183-0e86-4262-89ac-0261d4ded04c,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.693727423719,38.2242693238206
106,5547fba2-d749-4587-914a-2b7c94331533,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6927380134359,38.223966104534
107,46d04996-bd46-4cf0-b84a-15e283fdda51,wire,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6894119820689,38.2236253780403
108,8461c494-8b53-4e5b-adb0-a963eaecd241,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6872881785929,38.2234844183736
109,d66053d2-a0c2-4f49-93a6-14454e4ef002,mushroom,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6847827337148,38.2230514670897
110,c2c591a0-d6f0-41f8-b64b-63845edb7e1e,wire,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6840339787899,38.2229012647735
111,921fd535-1612-48c8-8789-258a622ec2c2,mushroom,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6862380752485,38.2236303632275
112,34e4181b-c90f-481e-ba14-4877e5a38de1,wire,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6884133325136,38.2239769776667
113,14c08a5e-3553-46e3-bdda-798a5c66444a,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.687443862232,38.2238103679096
114,ade2870e-f971-40d6-b544-ee6c037e292a,mushroom,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6909877993965,38.2242270559428
115,3a7d7bda-bf1b-4471-9eba-c1f38712cfbe,mushroom,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6923899566191,38.2242566766367
116,4f3e1c0d-8585-48ba-8e36-dd5788186a38,mushroom,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6945308794505,38.2248907563012
117,68f92c23-676d-4905-99d4-355a0716e061,wire,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6981538236939,38.2262601703761
118,08e94692-f307-4cae-b630-3ab8ca584488,wire,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6996214949393,38.2273036754115
119,b37090ef-3dcc-4a9b-a0d8-74bb0c130991,wire,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.6998777756979,38.2277862162282
120,616c6137-65c8-4b06-b4c4-98b4497058fd,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.7008500382864,38.2283210487191
121,7f7b6a87-2819-47f1-8308-c055aaa6070f,iron,useable,7eedfbbb-ec6f-44ae-a22a-26f1268447fc,6/11/2017 6:40:40 PM,,6/11/2017 6:40:40 PM,,-85.7013875879459,38.2288632843921
